env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
minecart-deterministic-v0,smdents,20,50,1024,5,16

hp_opt_iter,sm_l_inf_thresh,sm_split_visit_thresh,smbts_search_temp,smbts_epsilon,smbts_use_search_temp_decay,smbts_search_temp_decay_visits_scale,smdents_entropy_temp_init,smdents_entropy_temp_visits_scale,eval(mc_estimate_expected_utility),best_eval_so_far
89,0.49673,48,48.6084,0.0162412,1,62.1995,75.267,76.7199,-0.551935,0.000685709
90,0.328564,39,20.8439,0.499619,0,45.9504,43.7881,68.8029,-0.621293,0.000685709
91,0.406704,82,0.0333886,0.000550815,1,90.8161,7.97352,100,-0.0485663,0.000685709
92,0.5,71,0.748824,0.000414793,1,100,0.001,100,-0.133066,0.000685709
93,0.41715,76,84.53,0.0855343,1,69.7474,74.0936,52.4261,-0.544349,0.000685709
94,0.0402193,88,39.8331,0.00326866,0,78.6259,85.451,36.3294,-0.501078,0.000685709
95,0.470266,87,0.0163722,0.000868269,1,87.1404,62.209,100,-0.103209,0.000685709
96,0.070397,82,47.4114,0.0535428,1,79.756,79.7626,44.6912,-0.603173,0.000685709
97,0.217363,54,39.5069,0.336632,0,81.2583,30.8618,66.2352,-0.637508,0.000685709
98,0.0797999,75,50.0158,0.0835518,1,73.762,75.0054,50.0018,-0.617278,0.000685709
99,0.332526,87,0.112505,0.000340596,1,86.9625,68.5373,40.7587,-0.0788508,0.000685709
100,0.343027,87,0.134582,0.000783897,1,89.6831,0.001,93.2215,-0.103945,0.000685709
101,0.5,41,0.267537,0.000281069,1,96.7858,100,0.01,-0.118034,0.000685709
102,0.5,99,0.295971,0.0001,1,100,100,0.01,-0.0976486,0.000685709
103,0.468487,99,12.7981,0.496721,1,74.6087,74.1892,48.5628,-0.590645,0.000685709
104,0.266757,86,0.0671082,0.000479397,1,87.1011,60.1525,49.6668,-0.247123,0.000685709
105,0.499631,22,24.6395,0.270769,0,73.6838,72.7872,49.5382,-0.658481,0.000685709
106,0.5,77,0.0237026,0.000318469,1,85.6106,98.6325,100,-0.128702,0.000685709
107,0.5,86,0.83056,0.000327398,1,88.4855,0.001,0.01,-0.0798204,0.000685709
108,0.5,86,0.0214066,0.000401712,1,85.9227,0.001,5.74542,-0.0721015,0.000685709
109,0.5,84,0.794603,0.0001,1,88.4619,0.001,0.01,-0.0511669,0.000685709
110,0.5,60,0.0501995,0.00206749,1,72.0593,0.001,0.01,-0.207287,0.000685709
111,0.5,99,0.01,0.0001,1,100,100,100,-0.205773,0.000685709
112,0.425189,87,0.173856,0.00096409,1,87.0996,52.0916,0.01,-0.193962,0.000685709
113,0.499995,99,69.5,0.276398,1,61.6043,98.4785,83.3422,-0.530019,0.000685709
114,0.498152,96,90.1843,0.321638,1,95.681,70.0919,81.4376,-0.595139,0.000685709
