env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
minecart-v0,smbts,20,50,1024,5,16

hp_opt_iter,sm_l_inf_thresh,sm_split_visit_thresh,smbts_search_temp,smbts_epsilon,smbts_use_search_temp_decay,smbts_search_temp_decay_visits_scale,eval(mc_estimate_expected_utility),best_eval_so_far
114,0.373111,16,94.6038,0.375062,0,50.0446,-1.04394,-0.414288
115,0.398023,90,78.9562,0.0814784,0,43.5912,-1.03978,-0.414288
116,0.218096,62,13.066,0.409681,1,67.46,-0.996403,-0.414288
117,0.229979,64,10.2317,0.371103,1,86.5591,-1.00887,-0.414288
118,0.230412,75,83.3402,0.25005,0,83.335,-1.04209,-0.414288
119,0.394898,9,40.9739,0.344816,1,86.6587,-1.01506,-0.414288
120,0.208297,78,86.4324,0.207842,1,94.5399,-1.05124,-0.414288
121,0.394931,9,40.2885,0.395764,1,83.3069,-1.03807,-0.414288
122,0.24854,76,88.076,0.491932,1,27.1991,-1.03163,-0.414288
123,0.249284,77,85.7614,0.485896,1,38.9774,-1.05377,-0.414288
124,0.232695,72,77.0253,0.495131,1,49.4552,-1.04434,-0.414288
125,0.499901,99,0.0603895,0.000230307,0,0.247361,-0.923116,-0.414288
126,0.0001,97,100,0.0001,0,0.01,-1.05978,-0.414288
127,0.0001,99,66.2518,0.0001,0,0.01,-1.0522,-0.414288
128,0.106511,22,0.013105,0.0001,1,2.47936,-0.695501,-0.414288
129,0.0119228,3,0.01,0.0001,0,0.01,-0.76525,-0.414288
130,0.0001,47,40.4382,0.0001,0,0.01,-1.05298,-0.414288
131,0.499733,13,0.0403678,0.000637226,0,0.0177374,-0.72396,-0.414288
132,0.0001,1,0.01,0.5,0,0.01,-0.994337,-0.414288
133,0.499893,99,0.0580812,0.000497053,0,0.0662201,-0.993137,-0.414288
134,0.209371,99,20.8999,0.5,0,7.57396,-1.02526,-0.414288
135,0.393188,97,47.6943,0.294403,1,20.3639,-1.06443,-0.414288
136,0.394811,49,83.4324,0.415685,1,75.0025,-1.02521,-0.414288
137,0.375025,50,50.005,0.416683,0,16.675,-1.0264,-0.414288
138,0.471885,99,8.91634,0.0917275,0,61.5671,-1.00182,-0.414288
139,0.370746,76,16.8798,0.146451,1,77.8709,-1.04242,-0.414288
140,0.401517,98,38.9206,0.0152448,1,48.1473,-1.04609,-0.414288
141,0.381997,83,45.491,0.0814155,1,49.2627,-1.03982,-0.414288
142,0.358071,8,29.0157,0.127679,0,88.7444,-1.02256,-0.414288
143,0.382023,83,45.5264,0.0810801,1,49.2646,-1.04039,-0.414288
144,0.370519,99,40.4939,0.409041,0,96.6069,-1.02818,-0.414288
145,0.400905,98,71.867,0.36669,0,98.6935,-1.03999,-0.414288
