env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
fruit-tree-depth-7,smdents,20,50,1024,5,16

hp_opt_iter,sm_l_inf_thresh,sm_split_visit_thresh,smbts_search_temp,smbts_epsilon,smbts_use_search_temp_decay,smbts_search_temp_decay_visits_scale,smdents_entropy_temp_init,smdents_entropy_temp_visits_scale,eval(mc_estimate_expected_utility),best_eval_so_far
119,0.000152956,1,39.839,0.499997,1,0.021063,99.9964,99.9988,4.88253,4.91134
120,0.268731,77,41.0826,0.103434,1,52.9129,19.5143,76.538,4.81905,4.91134
121,0.000149942,1,39.8175,0.499977,1,0.019127,99.9982,99.9961,4.88849,4.91134
122,0.000141422,1,35.3116,0.499997,1,0.0185699,99.9962,99.998,4.88907,4.91134
123,0.000146688,1,31.3824,0.499986,1,0.0215631,99.9989,99.997,4.88993,4.91134
124,0.49974,1,93.5885,0.499197,0,0.0491979,0.0154898,99.9824,4.89118,4.91134
125,0.499991,1,98.4296,0.333997,0,35.6918,8.2758,67.2966,4.89793,4.91134
126,0.499988,1,95.9813,0.427895,0,53.8628,26.0097,65.5976,4.88286,4.91134
127,0.499994,7,98.4179,0.290648,1,15.6467,0.0109927,52.2511,4.87645,4.91134
128,0.499989,1,84.7337,0.214092,0,65.9021,43.5787,91.3519,4.88537,4.91134
129,0.499972,1,86.9917,0.49999,1,0.020576,0.0118022,76.0411,4.88643,4.91134
130,0.499986,1,99.9991,0.499982,1,34.3706,100,99.9964,4.87511,4.91134
131,0.49999,24,99.9988,0.479297,1,0.0182712,0.0112685,0.0210393,4.89407,4.91134
132,0.499998,1,100,0.0001,1,0.0236664,0.00919486,0.021961,4.90682,4.91134
133,0.499989,1,93.9834,0.000150204,1,21.692,0.0102213,0.0196724,4.87634,4.91134
134,0.00013509,1,99.9977,0.499997,0,57.565,0.0104976,99.8433,4.8842,4.91134
135,0.000143889,1,27.0838,0.49999,1,0.0182433,99.9965,99.9994,4.88991,4.91134
136,0.00014892,13,24.2646,0.499985,1,0.0199993,99.9994,99.9965,4.90117,4.91134
137,0.000140011,11,31.5839,0.499965,1,0.0197059,99.9999,99.997,4.89178,4.91134
138,0.00014948,1,25.7254,0.499988,1,0.0170667,99.996,99.9961,4.87288,4.91134
139,0.000145225,25,21.3332,0.499983,1,0.0186282,99.9967,99.9971,4.87204,4.91134
140,0.000140782,1,35.102,0.499999,1,0.0148265,99.9962,0.0198582,4.88255,4.91134
141,0.000164319,1,30.8983,0.499979,1,0.0206629,99.9989,0.0244444,4.89559,4.91134
142,0.431033,67,68.6968,0.476719,1,65.5173,98.109,28.2474,4.81855,4.91134
143,0.000143698,1,30.9111,0.499987,1,0.0171573,99.9977,0.0201283,4.90137,4.91134
144,0.00015121,11,30.2624,0.499991,1,0.0176213,99.9981,0.0194852,4.88815,4.91134
145,0.000164783,1,28.4884,0.5,1,0.0180156,99.9992,0.0207925,4.88919,4.91134
146,0.00015037,1,72.6668,0.499981,0,60.7886,0.0121368,0.01,4.89996,4.91134
147,0.000149595,1,78.2338,0.499993,0,57.5888,0.0099064,99.9998,4.87604,4.91134
148,0.499992,20,100,0.499987,1,0.0182772,0.0104746,0.0205777,4.89789,4.91134
149,0.000150994,17,99.9969,0.499984,1,0.0194824,0.0126386,0.0251337,4.87734,4.91134
150,0.499989,1,89.4443,0.499992,0,67.8604,99.9974,0.0198394,4.89355,4.91134
151,0.5,1,100,0.498053,1,0.0161652,0.00925903,99.9965,4.89917,4.91134
152,0.499999,1,71.8732,0.499997,1,0.0183865,0.00736763,46.2692,4.90106,4.91134
153,0.49999,1,84.5877,0.499974,1,0.0187536,0.0106885,100,4.88547,4.91134
154,0.499997,1,86.2436,0.499989,1,0.0183864,0.0114875,0.0198022,4.89516,4.91134
155,0.499976,1,100,0.499978,0,67.0576,0.00508221,0.0203152,4.8957,4.91134
156,0.000143091,1,87.3932,0.000149525,0,75.9157,99.9982,0.022918,4.88927,4.91134
157,0.000128804,1,87.4897,0.000157834,0,59.8782,99.9975,0.0196397,4.89393,4.91134
158,0.499972,1,99.9984,0.000145564,0,82.0105,0.0110212,0.0202147,4.8944,4.91134
159,0.491696,1,82.0095,0.000147316,0,72.3606,0.0111992,0.0203436,4.9106,4.91134
160,0.471708,1,82.1791,0.00015022,0,72.1326,0.0105272,0.0196387,4.89022,4.91134
161,0.332536,1,99.9992,0.000150259,0,70.9871,0.00882889,0.0198445,4.899,4.91134
162,0.499988,1,85.187,0.000149302,0,59.8166,0.0109745,0.0195415,4.88289,4.91134
163,0.000157893,1,87.4157,0.5,0,76.2395,0.00940607,0.017448,4.87413,4.91134
164,0.340607,84,36.9048,0.126229,1,46.109,63.5735,97.9173,4.80206,4.91134
165,0.000145872,1,87.3126,0.5,0,76.1943,0.0091297,0.0184798,4.90317,4.91134
166,0.000140566,1,84.0595,0.5,0,74.2736,0.0104891,0.0227962,4.87227,4.91134
167,0.471133,1,60.7731,0.000174373,1,0.01956,0.00880875,0.0100006,4.89341,4.91134
168,0.461241,1,65.5138,0.000148128,1,0.0180539,0.011357,99.9984,4.87684,4.91134
169,0.365363,1,60.8156,0.499992,0,17.7686,0.00933728,0.0203173,4.90073,4.91134
170,0.499988,1,68.8113,0.499991,0,33.1013,0.0113072,0.0207234,4.89042,4.91134
171,0.5,1,88.5711,0.49999,0,33.0974,0.0118439,0.0197812,4.89475,4.91134
172,0.499998,1,83.7631,0.499992,0,42.7127,0.0112547,0.0208334,4.87845,4.91134
173,0.000144762,1,53.504,0.499993,1,0.0179672,0.0109205,0.0190902,4.859,4.91134
174,0.499989,16,100,0.000156233,0,0.0174933,0.00949575,99.9973,4.89992,4.91134
175,0.499995,1,100,0.000142828,1,0.0175191,0.00888343,99.9994,4.88887,4.91134
176,0.499984,1,67.8899,0.000145271,0,29.045,0.0133698,99.9989,4.89127,4.91134
177,0.499981,1,80.6107,0.000149938,0,24.5055,0.00905802,99.9999,4.88186,4.91134
178,0.499987,1,100,0.000153178,0,54.2717,99.9974,99.9977,4.88521,4.91134
179,0.499987,1,67.6632,0.49999,0,53.3872,99.9984,0.01,4.88164,4.91134
180,0.499985,23,100,0.000152948,1,0.0190085,0.00989155,0.0194642,4.89897,4.91134
181,0.499992,1,82.8953,0.000130072,1,0.0181479,0.0106901,0.0196346,4.88845,4.91134
182,0.49998,1,85.1077,0.499999,0,75.6523,99.9961,98.7079,4.89394,4.91134
183,0.499987,18,100,0.000146189,0,37.1105,0.0105244,59.0636,4.89191,4.91134
184,0.499973,1,76.5732,0.000151527,0,81.6564,99.9959,0.01,4.89162,4.91134
185,0.499992,20,99.9933,0.5,0,48.0611,99.9942,39.7028,4.89895,4.91134
186,0.362151,99,48.4877,0.487382,1,54.2969,91.4886,9.05228,4.83506,4.91134
187,0.49997,21,99.9989,0.5,0,47.6801,99.9965,45.5781,4.91789,4.91789
188,0.499988,25,99.9981,0.499998,0,55.9874,99.9973,99.864,4.88202,4.91789
189,0.499258,8,99.9726,0.499188,0,53.2277,99.9189,0.01,4.87904,4.91789
190,0.499997,20,85.2331,0.000168999,0,67.9693,99.999,99.9977,4.88231,4.91789
191,0.499994,28,100,0.499988,1,0.0200377,99.9974,99.9973,4.89015,4.91789
192,0.499991,26,100,0.499985,0,26.6494,99.9996,99.9965,4.88405,4.91789
193,0.000155469,1,60.274,0.499995,0,0.0181835,0.00924573,99.9976,4.87648,4.91789
194,0.000160923,1,62.596,0.499993,1,34.3463,0.009131,99.9997,4.86857,4.91789
195,0.499979,20,99.9994,0.000166644,1,0.01,99.9977,0.0204705,4.88504,4.91789
196,0.499994,1,57.1836,0.499994,1,0.0177523,99.9998,0.0198312,4.90232,4.91789
197,0.499989,1,67.4384,0.499997,1,0.0191728,99.9977,0.0200784,4.89565,4.91789
198,0.499984,1,53.275,0.499993,1,0.0202916,99.9994,0.0152615,4.88075,4.91789
199,0.499989,1,73.6938,0.499999,1,24.1885,99.9976,0.0233107,4.90051,4.91789
200,0.499999,1,76.092,0.499985,1,0.0188267,99.9978,0.0203302,4.89321,4.91789
201,0.499974,1,74.8005,0.499964,1,0.0163586,0.001,0.0125626,4.8939,4.91789
202,0.499989,17,83.4766,0.499985,1,0.0243018,99.9985,0.0261757,4.88912,4.91789
203,0.499933,1,51.9493,0.499994,1,19.6263,99.9996,0.0251252,4.87686,4.91789
204,0.499985,1,85.2133,0.499991,0,63.2093,100,0.0195118,4.90199,4.91789
