Hpopt Xpr level params:

xpr_name,env_id,mcts_mode,graph_search,max_trial_length,runtime_bounded,term_bound,search_threads,eval_delta,eval_rollouts,eval_threads,min_repeats,conf_thresh,bayesopt_total_samples,bayesopt_init_rand_samples,bayesopt_relearn_freq
310_hpopt_frozen_lake_det_sparse,frozen_lake_(map=8x8,sparse),0,0,100,0,10000,16,10000,1,1,10,0.015,200,10,20

rents params mins/maxs: 

temp - (min,max,log_scale) = (0.0001,10000,1)
epsilon - (min,max,log_scale) = (1e-06,1,1)
default_q_value - (min,max,log_scale) = (-100,0,0)

Evaluations:

hp_opt_iter,mean_eval,std_mean_eval,best_eval_so_far,temp,epsilon,default_q_value
171,0.795222,0.0163322,0.841402,0.000603016,1,-37.5511
172,0.791188,0.0115154,0.841402,0.0001,0.977219,-13.9405
173,0.807839,0.00982728,0.841402,0.0001,0.997378,-60.1912
174,0.804771,0.0112842,0.841402,0.00184581,0.367242,-52.0604
175,0.833112,0.00709177,0.841402,0.0001,0.97956,-46.0216
176,0.805627,0.0117363,0.841402,0.0001,0.999549,-36.9076
177,0.806797,0.00751069,0.841402,0.0001,0.990922,-36.4907
178,0.794565,0.0172438,0.841402,0.0022341,0.586216,-53.1197
179,0.157918,0.0823345,0.841402,0.0657497,0.00262399,-100
180,0.727038,0.00969741,0.841402,0.0500066,0.358393,-100
181,0.728733,0.0154573,0.841402,0.0262429,0.0792622,-79.8939
182,0.80278,0.0140264,0.841402,0.0001,0.993906,-60.1976
183,0.823469,0.0104309,0.841402,0.000141474,0.990596,-34.2923
184,0.797913,0.0136564,0.841402,0.000168206,0.99205,-56.0066
185,0.790288,0.0194071,0.841402,0.000142007,0.993854,0
186,0.798332,0.0159857,0.841402,0.000264348,0.990727,0
187,0.821962,0.0115867,0.841402,0.00015945,1,-100
188,0.78833,0.00700426,0.841402,0.000237985,0.993022,0
189,0.810846,0.0141647,0.841402,0.000728624,0.994138,-86.7008
190,0,0,0.841402,29.7867,0.0391656,-0.00258748
191,0,0,0.841402,0.000782195,0.00027874,-0.00257566
192,0,0,0.841402,200.644,0.000501458,0
193,0.756558,0.00735278,0.841402,0.0099261,0.134426,-30.7622
194,0,0,0.841402,0.363951,0.000468578,-0.00571559
195,0.67616,0.0252393,0.841402,0.000481313,0.084449,-100
196,0.71324,0.0205384,0.841402,0.00215443,0.1,-50
197,0.795153,0.011424,0.841402,0.000933916,0.983089,-86.5032
198,0.790618,0.0174537,0.841402,0.00501087,0.991662,-48.1376
199,0.777858,0.0165374,0.841402,0.00118242,0.993288,-1.95783

Best Params: 

mean_eval - 0.841402
std_mean_eval - 0.00532386
temp - 0.000795048
epsilon - 1
default_q_value - -36.7096

